date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:45	559/559	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:ffd32ebd1a8dd3ba2dbcb022bf0ca43c%22	https://jmvtechnologies.com.br/robots.txt		(from )
11:26:45	129125/129125	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:f28153eb7bc4f612859b1df414b7152a%22	https://jmvtechnologies.com.br/	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/index.html	(from )
11:26:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:45%20GMT	http://jmvtechnologies.com.br/cdn/shop/files/JMV_TECHNOLOGIES_MARCA_DAGUA_4.png?crop=center&height=32&v=1689544962&width=32	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/files/JMV_TECHNOLOGIES_MARCA_DAGUA_4.07bf6.delayed	(from https://jmvtechnologies.com.br/)
11:26:46	3048/3048	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Jun%202025%2014:23:46%20GMT	https://jmvtechnologies.com.br/cdn/shop/files/JMV_TECHNOLOGIES_MARCA_DAGUA_4.png?crop=center&height=32&v=1689544962&width=32	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/files/JMV_TECHNOLOGIES_MARCA_DAGUA_47bf6.png	(from https://jmvtechnologies.com.br/)
11:26:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:45%20GMT	http://jmvtechnologies.com.br/cdn/shop/files/Logo_principal_funco_branco.png?height=628&pad_color=ffffff&v=1689544921&width=1200	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/files/Logo_principal_funco_branco0135.png	(from https://jmvtechnologies.com.br/)
11:26:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:46%20GMT	http://jmvtechnologies.com.br/cdn/shop/t/6/assets/constants.js?v=132983761750457495441732971744	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/constants2800.js	(from https://jmvtechnologies.com.br/)
11:26:47	69328/69328	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Jun%202025%2014:26:46%20GMT	https://jmvtechnologies.com.br/cdn/shop/files/Logo_principal_funco_branco.png?height=628&pad_color=ffffff&v=1689544921&width=1200	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/files/Logo_principal_funco_branco0135.png	(from https://jmvtechnologies.com.br/)
11:26:47	258/258	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/assets/constants.js?v=132983761750457495441732971744	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/constants2800.js	(from https://jmvtechnologies.com.br/)
11:26:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:26:47%20GMT	http://jmvtechnologies.com.br/cdn/shop/t/6/assets/pubsub.js?v=158357773527763999511732971745	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/pubsub8fac.js	(from https://jmvtechnologies.com.br/)
11:26:49	476/476	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/assets/pubsub.js?v=158357773527763999511732971745	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/pubsub8fac.js	(from https://jmvtechnologies.com.br/)
